season,seed,match,handle,before,current,before_score,current_score,delta
3,211,1,"eliancodex",win,win,1,1,0
3,211,2,"s3xyfuture",loss,loss,0,0,0
3,211,3,"1bjax",loss,win,0,1,1
3,211,4,"_max_q_",win,win,1,1,0
3,211,5,"nateclarklive",win,win,1,1,0
3,211,6,"_max_q_",win,win,1,1,0
3,211,7,"arminsolecki",win,win,1,1,0
3,211,8,"metamaxct",loss,draw,0,0.5,0.5
3,211,9,"sodiumhyrdride",loss,win,0,1,1
3,211,10,"default_vpc",win,win,1,1,0
3,211,11,"default_vpc",win,win,1,1,0
3,211,12,"default_vpc",win,win,1,1,0
3,211,13,"lighttwrecker",win,win,1,1,0
3,211,14,"roostercogdick",win,win,1,1,0
3,211,15,"arminsolecki",win,win,1,1,0
3,211,16,"izzat316",win,draw,1,0.5,-0.5
3,211,17,"theusinnovator",win,win,1,1,0
3,211,18,"_max_q_",win,win,1,1,0
3,211,19,"roostercogdick",win,win,1,1,0
3,211,20,"devtony",loss,loss,0,0,0
3,223,1,"gkwy",loss,loss,0,0,0
3,223,2,"mhk7272",win,win,1,1,0
3,223,3,"sodiumhyrdride",draw,draw,0.5,0.5,0
3,223,4,"s3xyfuture",win,win,1,1,0
3,223,5,"s3xyfuture",draw,draw,0.5,0.5,0
3,223,6,"theusinnovator",win,win,1,1,0
3,223,7,"izzat316",loss,loss,0,0,0
3,223,8,"default_vpc",win,win,1,1,0
3,223,9,"s3xyfuture",win,win,1,1,0
3,223,10,"devtony",win,win,1,1,0
3,223,11,"gkwy",win,win,1,1,0
3,223,12,"default_vpc",win,win,1,1,0
3,223,13,"default_vpc",win,win,1,1,0
3,223,14,"1bjax",win,loss,1,0,-1
3,223,15,"default_vpc",win,win,1,1,0
3,223,16,"1bjax",win,win,1,1,0
3,223,17,"izzat316",win,win,1,1,0
3,223,18,"_max_q_",win,win,1,1,0
3,223,19,"izzat316",win,win,1,1,0
3,223,20,"eliancodex",win,win,1,1,0
3,227,1,"default_vpc",loss,loss,0,0,0
3,227,2,"mhk7272",win,loss,1,0,-1
3,227,3,"default_vpc",win,win,1,1,0
3,227,4,"izzat316",loss,loss,0,0,0
3,227,5,"iijanchan",win,win,1,1,0
3,227,6,"luisjimnezcort5",win,win,1,1,0
3,227,7,"sodiumhyrdride",win,loss,1,0,-1
3,227,8,"default_vpc",win,win,1,1,0
3,227,9,"theusinnovator",win,win,1,1,0
3,227,10,"default_vpc",win,win,1,1,0
3,227,11,"alexfinkbeiner",win,win,1,1,0
3,227,12,"_max_q_",win,win,1,1,0
3,227,13,"default_vpc",loss,win,0,1,1
3,227,14,"alexfinkbeiner",win,win,1,1,0
3,227,15,"alexfinkbeiner",win,win,1,1,0
3,227,16,"arminsolecki",win,win,1,1,0
3,227,17,"metamaxct",win,win,1,1,0
3,227,18,"_max_q_",win,win,1,1,0
3,227,19,"devtony",loss,loss,0,0,0
3,227,20,"_max_q_",win,win,1,1,0
3,229,1,"ayaanyyz",win,win,1,1,0
3,229,2,"izzat316",loss,loss,0,0,0
3,229,3,"_max_q_",loss,win,0,1,1
3,229,4,"default_vpc",draw,loss,0.5,0,-0.5
3,229,5,"default_vpc",win,win,1,1,0
3,229,6,"lighttwrecker",loss,loss,0,0,0
3,229,7,"alexfinkbeiner",loss,loss,0,0,0
3,229,8,"iijanchan",win,loss,1,0,-1
3,229,9,"default_vpc",win,win,1,1,0
3,229,10,"izzat316",win,win,1,1,0
3,229,11,"theusinnovator",win,win,1,1,0
3,229,12,"intensidad1111",win,win,1,1,0
3,229,13,"sodiumhyrdride",win,win,1,1,0
3,229,14,"s3xyfuture",win,win,1,1,0
3,229,15,"roostercogdick",win,win,1,1,0
3,229,16,"nateclarklive",win,win,1,1,0
3,229,17,"gkwy",win,win,1,1,0
3,229,18,"nateclarklive",win,win,1,1,0
3,229,19,"eliancodex",win,win,1,1,0
3,229,20,"metamaxct",loss,loss,0,0,0
3,233,1,"_max_q_",draw,draw,0.5,0.5,0
3,233,2,"_max_q_",win,win,1,1,0
3,233,3,"s3xyfuture",loss,loss,0,0,0
3,233,4,"iijanchan",win,win,1,1,0
3,233,5,"default_vpc",win,win,1,1,0
3,233,6,"sodiumhyrdride",loss,loss,0,0,0
3,233,7,"default_vpc",win,win,1,1,0
3,233,8,"_max_q_",win,win,1,1,0
3,233,9,"ayaanyyz",win,win,1,1,0
3,233,10,"1bjax",win,win,1,1,0
3,233,11,"theusinnovator",win,win,1,1,0
3,233,12,"izzat316",loss,loss,0,0,0
3,233,13,"iijanchan",win,win,1,1,0
3,233,14,"mhk7272",win,win,1,1,0
3,233,15,"1bjax",win,win,1,1,0
3,233,16,"default_vpc",win,win,1,1,0
3,233,17,"_max_q_",win,win,1,1,0
3,233,18,"ayaanyyz",win,win,1,1,0
3,233,19,"roostercogdick",win,win,1,1,0
3,233,20,"_max_q_",win,win,1,1,0
3,239,1,"theusinnovator",loss,loss,0,0,0
3,239,2,"nateclarklive",win,win,1,1,0
3,239,3,"gkwy",loss,loss,0,0,0
3,239,4,"mhk7272",win,win,1,1,0
3,239,5,"roostercogdick",win,win,1,1,0
3,239,6,"arminsolecki",loss,draw,0,0.5,0.5
3,239,7,"sodiumhyrdride",loss,win,0,1,1
3,239,8,"default_vpc",win,win,1,1,0
3,239,9,"izzat316",win,loss,1,0,-1
3,239,10,"default_vpc",win,win,1,1,0
3,239,11,"izzat316",win,win,1,1,0
3,239,12,"default_vpc",win,win,1,1,0
3,239,13,"gkwy",win,win,1,1,0
3,239,14,"s3xyfuture",win,win,1,1,0
3,239,15,"theusinnovator",win,win,1,1,0
3,239,16,"s3xyfuture",win,win,1,1,0
3,239,17,"ayaanyyz",win,win,1,1,0
3,239,18,"default_vpc",win,win,1,1,0
3,239,19,"default_vpc",win,win,1,1,0
3,239,20,"mhk7272",win,win,1,1,0
3,241,1,"s3xyfuture",loss,loss,0,0,0
3,241,2,"theusinnovator",win,win,1,1,0
3,241,3,"eliancodex",win,win,1,1,0
3,241,4,"roostercogdick",win,win,1,1,0
3,241,5,"sodiumhyrdride",win,win,1,1,0
3,241,6,"alexfinkbeiner",win,win,1,1,0
3,241,7,"izzat316",win,win,1,1,0
3,241,8,"ayaanyyz",win,win,1,1,0
3,241,9,"default_vpc",win,win,1,1,0
3,241,10,"_max_q_",win,win,1,1,0
3,241,11,"theusinnovator",win,win,1,1,0
3,241,12,"luisjimnezcort5",win,win,1,1,0
3,241,13,"default_vpc",win,win,1,1,0
3,241,14,"ayaanyyz",win,win,1,1,0
3,241,15,"sodiumhyrdride",win,win,1,1,0
3,241,16,"s3xyfuture",win,win,1,1,0
3,241,17,"ayaanyyz",win,win,1,1,0
3,241,18,"_max_q_",win,win,1,1,0
3,241,19,"luisjimnezcort5",win,win,1,1,0
3,241,20,"izzat316",loss,win,0,1,1
3,251,1,"alexfinkbeiner",loss,loss,0,0,0
3,251,2,"sodiumhyrdride",draw,draw,0.5,0.5,0
3,251,3,"eliancodex",win,win,1,1,0
3,251,4,"s3xyfuture",loss,loss,0,0,0
3,251,5,"lighttwrecker",win,win,1,1,0
3,251,6,"default_vpc",win,loss,1,0,-1
3,251,7,"s3xyfuture",win,win,1,1,0
3,251,8,"metamaxct",win,win,1,1,0
3,251,9,"s3xyfuture",win,win,1,1,0
3,251,10,"_max_q_",win,win,1,1,0
3,251,11,"luisjimnezcort5",win,win,1,1,0
3,251,12,"lighttwrecker",win,win,1,1,0
3,251,13,"mhk7272",win,win,1,1,0
3,251,14,"mhk7272",win,win,1,1,0
